article_id,expr_type,value,char_offset
1.txt,deictic,year,899
1.txt,deictic,year,1040
1.txt,deictic,year,1285
1.txt,deictic,year,1295
1.txt,deictic,summer,170
2.txt,deictic,year,311
2.txt,deictic,year,420
2.txt,deictic,year,1221
2.txt,deictic,fall,390
2.txt,deictic,Wednesday,780
3.txt,deictic,year,727
3.txt,deictic,year,829
3.txt,deictic,previous year,998
3.txt,deictic,next year,1829
4.txt,deictic,year,1074
4.txt,deictic,year,4301
4.txt,deictic,year,4636
5.txt,deictic,next week,369
5.txt,deictic,year,1276
6.txt,deictic,last September,1410
7.txt,deictic,last week,1374
8.txt,deictic,week,904
8.txt,deictic,year,1005
8.txt,deictic,year,1496
8.txt,deictic,Last month,1713
8.txt,deictic,Tuesday,1031
9.txt,deictic,year,619
9.txt,deictic,year,3082
10.txt,deictic,last year,194
10.txt,deictic,year,309
11.txt,deictic,fall,1243
11.txt,deictic,Sunday,530
12.txt,deictic,year,473
12.txt,deictic,year,795
12.txt,deictic,year,1193
13.txt,deictic,week,704
13.txt,deictic,Today,823
13.txt,deictic,last year,2557
13.txt,deictic,year,2864
13.txt,deictic,year,3069
13.txt,deictic,fall,632
13.txt,deictic,fall,1326
13.txt,deictic,summer,1608
13.txt,deictic,fall,2187
13.txt,deictic,Thursday,1901
14.txt,deictic,year,308
14.txt,deictic,last month,455
14.txt,deictic,previous quarter,839
14.txt,deictic,last quarter,1086
14.txt,deictic,last year,1176
14.txt,deictic,year,1289
14.txt,deictic,fall,749
15.txt,deictic,year,800
15.txt,deictic,fall,489
15.txt,deictic,Monday,572
15.txt,deictic,Monday,900
15.txt,deictic,Friday,649
16.txt,deictic,year,925
16.txt,deictic,year,1568
16.txt,deictic,last week,1739
16.txt,deictic,week,1957
16.txt,deictic,Sunday,855
16.txt,deictic,Sunday,2652
17.txt,deictic,last year,439
18.txt,deictic,last year,284
18.txt,deictic,Thursday,517
19.txt,deictic,year,37
19.txt,deictic,year,366
19.txt,deictic,year,495
19.txt,deictic,year,653
19.txt,deictic,year,1029
19.txt,deictic,year,1210
19.txt,deictic,year,1338
19.txt,deictic,last year,1492
19.txt,deictic,year,1795
19.txt,deictic,year,1919
19.txt,deictic,fall,264
19.txt,deictic,fall,468
19.txt,deictic,fall,633
19.txt,deictic,fall,1850
20.txt,deictic,last quarter,90
20.txt,deictic,year,332
20.txt,deictic,year,628
20.txt,deictic,fall,73
21.txt,deictic,year,169
21.txt,deictic,last year,783
21.txt,deictic,last November,648
21.txt,deictic,fall,91
21.txt,deictic,fall,623
22.txt,deictic,previous quarter,312
22.txt,deictic,year,460
22.txt,deictic,year,1152
22.txt,deictic,last year,1834
22.txt,deictic,fall,203
22.txt,deictic,fall,282
22.txt,deictic,winter,1645
22.txt,deictic,fall,2052
22.txt,deictic,Wednesday,485
23.txt,deictic,Last month,515
23.txt,deictic,next week,1504
24.txt,deictic,week,702
24.txt,deictic,Today,821
24.txt,deictic,last year,2555
24.txt,deictic,year,2862
24.txt,deictic,year,3067
24.txt,deictic,fall,630
24.txt,deictic,fall,1324
24.txt,deictic,summer,1606
24.txt,deictic,fall,2185
24.txt,deictic,Thursday,1899
25.txt,deictic,after Monday,1298
25.txt,deictic,Tuesday,1290
25.txt,deictic,Friday,1100
26.txt,deictic,year,1310
26.txt,deictic,year,1968
26.txt,deictic,year,2085
26.txt,deictic,year,2340
26.txt,deictic,Friday,954
27.txt,deictic,Sunday,667
28.txt,deictic,year,271
28.txt,deictic,last week,374
28.txt,deictic,year,1332
28.txt,deictic,year,1369
29.txt,deictic,week,712
29.txt,deictic,today,1758
29.txt,deictic,year,1810
29.txt,deictic,last year,2011
29.txt,deictic,Tuesday,1547
30.txt,deictic,Last week,884
30.txt,deictic,last November,634
30.txt,deictic,Sunday,1217
30.txt,deictic,after Sunday,1874
32.txt,deictic,year,268
32.txt,deictic,Last week,497
32.txt,deictic,year,601
32.txt,deictic,last month,968
32.txt,deictic,last month,1703
32.txt,deictic,year,2020
32.txt,deictic,previous quarter,2614
32.txt,deictic,fall,728
32.txt,deictic,fall,1050
32.txt,deictic,fall,1749
32.txt,deictic,fall,1908
32.txt,deictic,fall,2023
32.txt,deictic,Tuesday,628
33.txt,deictic,year,557
33.txt,deictic,Last month,751
33.txt,deictic,Tuesday,421
35.txt,deictic,year,163
35.txt,deictic,Last year,900
36.txt,simple,"11 September, 2001",4289
36.txt,deictic,week,228
36.txt,deictic,week,307
36.txt,deictic,week,565
36.txt,deictic,week,630
36.txt,deictic,week,2003
36.txt,deictic,week,2319
36.txt,deictic,week,4453
37.txt,deictic,year,710
37.txt,deictic,year,1274
37.txt,deictic,Thursday,1068
38.txt,deictic,Friday,468
38.txt,deictic,Friday,949
39.txt,deictic,fall,83
40.txt,deictic,last August,106
40.txt,deictic,after December,215
40.txt,deictic,fall,141
40.txt,deictic,fall,165
41.txt,deictic,year,138
42.txt,deictic,year,26
42.txt,deictic,year,170
42.txt,deictic,year,484
42.txt,deictic,previous year,579
42.txt,deictic,year,884
42.txt,deictic,year,977
42.txt,deictic,year,1037
42.txt,deictic,year,1169
43.txt,deictic,previous month,712
43.txt,deictic,year,1153
43.txt,deictic,next week,1380
43.txt,deictic,summer,264
43.txt,deictic,fall,1854
44.txt,deictic,week,535
44.txt,deictic,Thursday,83
46.txt,deictic,previous year,498
46.txt,deictic,week,631
46.txt,deictic,year,1707
46.txt,deictic,year,1802
46.txt,deictic,year,2180
46.txt,deictic,Tuesday,3859
46.txt,deictic,this Sunday,301
47.txt,deictic,fall,1294
48.txt,deictic,year,1034
48.txt,deictic,summer,808
49.txt,deictic,last year,151
49.txt,deictic,fall,1170
50.txt,deictic,last year,204
50.txt,deictic,last year,573
50.txt,deictic,last year,1774
51.txt,deictic,Last year,1217
51.txt,deictic,last year,1674
51.txt,deictic,year,1762
51.txt,deictic,Friday,261
51.txt,deictic,Friday,1563
51.txt,deictic,Sunday,273
52.txt,deictic,year,29
52.txt,deictic,week,377
52.txt,deictic,year,414
52.txt,deictic,year,775
52.txt,deictic,last year,1290
53.txt,deictic,year,125
53.txt,deictic,year,468
53.txt,deictic,year,702
53.txt,deictic,year,885
54.txt,deictic,previous month,240
54.txt,deictic,last quarter,681
54.txt,deictic,previous year,698
54.txt,deictic,year,1288
54.txt,deictic,fall,27
54.txt,deictic,fall,462
54.txt,deictic,fall,1170
55.txt,deictic,year,829
56.txt,deictic,Last year,803
57.txt,deictic,year,911
57.txt,deictic,year,1250
57.txt,deictic,week,1378
57.txt,deictic,year,1453
57.txt,deictic,fall,537
59.txt,deictic,year,683
60.txt,deictic,last year,343
61.txt,simple,"15 December, 1953",1730
61.txt,deictic,year,2020
61.txt,deictic,last year,2145
62.txt,deictic,year,29
62.txt,deictic,week,377
62.txt,deictic,year,414
62.txt,deictic,year,775
62.txt,deictic,last year,1290
63.txt,deictic,Last year,282
63.txt,deictic,last year,1541
63.txt,deictic,last year,2914
64.txt,deictic,previous month,1499
64.txt,deictic,week,1869
65.txt,deictic,week,104
65.txt,deictic,year,698
65.txt,deictic,year,1064
